Time [sec]	Date	Up-Time [days]	Vacuum 1 (HV) [mbar]	Vacuum 2 (UHV) [mbar]	Vacuum 3 (Fore) [mbar]	Vacuum 4/humidity [mbar]	TURBO1_TEMP_BEARING_R [°C]	TURBO1_TEMP_MOTOR_R [°C]	TURBO1_TEMP_BOTTOMPART_R [°C]	TURBO1_TEMP_POWERSTAGE_R [°C]	TURBO1_TEMP_ELECTRONICS_R [°C]	TURBO1_VOLT_R [V]	TURBO1_CURR_R [A]	TURBO2_TEMP_BEARING_R [°C]	TURBO2_TEMP_MOTOR_R [°C]	TURBO2_TEMP_BOTTOMPART_R [°C]	TURBO2_TEMP_POWERSTAGE_R [°C]	TURBO2_TEMP_ELECTRONICS_R [°C]	TURBO2_VOLT_R [V]	TURBO2_CURR_R [A]	TURBO3_TEMP_BEARING_R [°C]	TURBO3_TEMP_MOTOR_R [°C]	TURBO3_TEMP_BOTTOMPART_R [°C]	TURBO3_TEMP_POWERSTAGE_R [°C]	TURBO3_TEMP_ELECTRONICS_R [°C]	TURBO3_VOLT_R [V]	TURBO3_CURR_R [A]	Ambient Temperature (raw) [°C]	Ambient Humidity result [%]	Capillary Temperature [°C]	IOS Heatsink Temperature [°C]	IOS RF0-1 Freq [kHz]	IOS RF2-3 Freq [kHz]	Ctrap RF amp [Vpp]	Ctrap AMP current [A]	Ctrap Freq [MHz]	CE-pos electronics temperature (   act.   ) [°C]	CE-neg electronics temperature (   act.   ) [°C]	Analyzer temperature sensor [°C]	Analyzer temp sensor (filtered) [°C]	Analyzer temperature (with delay model) [°C]	CEPS Peltier temperature sensor [°C]	Quad Detector Temperature [°C]	
1628378283	2021-08-08 00:04:51	5.5106712963	3.18131361724e-09	1.68271378106e-10	1.44809714572	0.00433234662819	41.0	49.0	39.0	44.0	48.0	23.1	4.15	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.7956542969	59.200230878	299.862666707	24.5268105106	0.0	205.0	0.15625	0.0129140625	3.0334765625	39.2581262771	39.2613821212	26.5927734375	26.6662908977	26.7789246571	38.1044921875	32.3648792993	
1628379183	2021-08-08 00:19:52	5.52108796296	3.20374527283e-09	1.65341248809e-10	1.44809714572	0.00448728468524	41.0	49.0	39.0	44.0	48.0	23.1	4.15	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.7956542969	58.6834588711	299.93591113	24.5039948729	0.0	176.0	0.25390625	0.01262109375	3.037890625	39.2581262771	39.2613821212	26.60546875	26.6662908977	26.7573233492	38.085546875	32.3770867031	
1628380083	2021-08-08 00:34:52	5.5315162037	3.18131361724e-09	1.65341248809e-10	1.45830976125	0.00448728468524	41.0	49.0	39.0	44.0	48.0	23.1	4.15	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.7407226562	59.5204307179	299.93591113	24.4583635975	0.0	184.0	2.3828125	0.0130234375	3.037734375	39.2581262771	39.2613821212	26.5927734375	26.6309904572	26.7380826456	38.112109375	32.3496200446	
1628380983	2021-08-08 00:49:52	5.54193287037	3.20374527283e-09	1.65341248809e-10	1.45830976125	0.00424196363582	41.0	49.0	39.0	44.0	48.0	23.1	4.15	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.7077636719	58.6142949721	300.082399976	24.4583635975	0.0	192.0	0.15625	0.012890625	3.038203125	39.2581262771	39.2613821212	26.578125	26.6309904572	26.7184203906	38.1044921875	32.325205237	
1628381883	2021-08-08 01:04:52	5.55234953704	3.20374527283e-09	1.63895373562e-10	1.43795604965	0.00458289470275	41.0	49.0	39.0	44.0	48.0	23.1	4.18	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.7077636719	59.415489546	300.009155553	24.4355479598	0.0	187.0	0.21484375	0.01262109375	3.03796875	39.2581262771	39.2613821212	26.5537109375	26.5987475094	26.6996532284	38.1484375	32.2946867275	
1628382783	2021-08-08 01:19:52	5.56275462963	3.20374527283e-09	1.63895373562e-10	1.45830976125	0.00458289470275	41.0	49.0	39.0	44.0	48.0	23.1	4.12	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.6967773438	59.482033873	300.009155553	24.4355479598	0.0	163.0	0.546875	0.01274609375	3.037890625	39.2581262771	39.2613821212	26.552734375	26.5987475094	26.681136002	38.1337890625	32.2855311747	
1628383683	2021-08-08 01:34:51	5.5731712963	3.18131361724e-09	1.63895373562e-10	1.45830976125	0.00427187982191	41.0	49.0	39.0	44.0	48.0	23.1	4.15	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.6857910156	58.3508860799	300.082399976	24.4583635975	0.0	185.0	3.203125	0.01288671875	3.037890625	39.2581262771	39.2613821212	26.5400390625	26.5665307781	26.6635487812	38.133203125	32.2824793237	
1628384583	2021-08-08 01:49:51	5.58358796296	3.22633509552e-09	1.65341248809e-10	1.45830976125	0.00478026959539	41.0	49.0	39.0	44.0	48.0	23.1	4.18	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.6748046875	59.6648021454	299.93591113	24.4127323222	0.0	189.0	0.1953125	0.01298828125	3.0377734375	39.2581262771	39.2613821212	26.5302734375	26.5665307781	26.6476014921	38.125	32.2885830256	
1628385483	2021-08-08 02:04:52	5.59400462963	3.18131361724e-09	1.63895373562e-10	1.44809714572	0.00436290023475	41.0	49.0	39.0	44.0	48.0	23.1	4.15	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.6418457031	58.4529978628	300.009155553	24.3899166845	0.0	171.0	0.3125	0.012609375	3.0378515625	39.2581262771	39.2613821212	26.52734375	26.5665307781	26.6326947117	38.133203125	32.2702719199	
1628386383	2021-08-08 02:19:52	5.60443287037	3.18131361724e-09	1.63895373562e-10	1.44809714572	0.00433234662819	41.0	49.0	39.0	44.0	48.0	23.1	4.15	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.630859375	58.6186920843	300.082399976	24.4127323222	0.0	166.0	8.0078125	0.01283984375	3.0378125	39.2581262771	39.2613821212	26.5087890625	26.5366243708	26.6184904343	38.136328125	32.264168218	
